[0.000000] (-) TimerEvent: {}
[0.000206] (-) JobUnselected: {'identifier': 'assignment_groups_mip'}
[0.000462] (-) JobUnselected: {'identifier': 'assignment_groups_sat'}
[0.000525] (-) JobUnselected: {'identifier': 'assignment_linear_sum_assignment'}
[0.000545] (-) JobUnselected: {'identifier': 'assignment_min_flow'}
[0.000562] (-) JobUnselected: {'identifier': 'assignment_mip'}
[0.000578] (-) JobUnselected: {'identifier': 'assignment_sat'}
[0.000592] (-) JobUnselected: {'identifier': 'assignment_task_sizes_mip'}
[0.000606] (-) JobUnselected: {'identifier': 'assignment_task_sizes_sat'}
[0.000621] (-) JobUnselected: {'identifier': 'assignment_teams_mip'}
[0.000635] (-) JobUnselected: {'identifier': 'assignment_teams_sat'}
[0.000648] (-) JobUnselected: {'identifier': 'assumptions_sample_sat'}
[0.000663] (-) JobUnselected: {'identifier': 'balance_min_flow'}
[0.000676] (-) JobUnselected: {'identifier': 'basic_example'}
[0.000690] (-) JobUnselected: {'identifier': 'bfs_directed'}
[0.000704] (-) JobUnselected: {'identifier': 'bfs_one_to_all'}
[0.000718] (-) JobUnselected: {'identifier': 'bfs_undirected'}
[0.000731] (-) JobUnselected: {'identifier': 'bin_packing_mip'}
[0.000745] (-) JobUnselected: {'identifier': 'binpacking_2d_sat'}
[0.000760] (-) JobUnselected: {'identifier': 'binpacking_problem_sat'}
[0.000780] (-) JobUnselected: {'identifier': 'bool_or_sample_sat'}
[0.000795] (-) JobUnselected: {'identifier': 'channeling_sample_sat'}
[0.000809] (-) JobUnselected: {'identifier': 'clone_model_sample_sat'}
[0.000822] (-) JobUnselected: {'identifier': 'constraint_programming_cp'}
[0.000836] (-) JobUnselected: {'identifier': 'costas_array_sat'}
[0.000850] (-) JobUnselected: {'identifier': 'course_scheduling'}
[0.000864] (-) JobUnselected: {'identifier': 'course_scheduling_run'}
[0.000878] (-) JobUnselected: {'identifier': 'cp_is_fun_cp'}
[0.000891] (-) JobUnselected: {'identifier': 'cp_is_fun_sat'}
[0.000905] (-) JobUnselected: {'identifier': 'cp_sat_example'}
[0.000918] (-) JobUnselected: {'identifier': 'cryptarithm_sat'}
[0.000932] (-) JobUnselected: {'identifier': 'cvrp_disjoint_tw'}
[0.000945] (-) JobUnselected: {'identifier': 'cvrptw'}
[0.000959] (-) JobUnselected: {'identifier': 'cvrptw_soft_capacity'}
[0.000972] (-) JobUnselected: {'identifier': 'cvrptw_with_breaks'}
[0.000986] (-) JobUnselected: {'identifier': 'cvrptw_with_precedences'}
[0.000999] (-) JobUnselected: {'identifier': 'cvrptw_with_refueling'}
[0.001013] (-) JobUnselected: {'identifier': 'cvrptw_with_resources'}
[0.001026] (-) JobUnselected: {'identifier': 'cvrptw_with_stop_times_and_resources'}
[0.001040] (-) JobUnselected: {'identifier': 'cvrptw_with_time_dependent_costs'}
[0.001053] (-) JobUnselected: {'identifier': 'dag_shortest_path_one_to_all'}
[0.001067] (-) JobUnselected: {'identifier': 'dag_shortest_path_sequential'}
[0.001080] (-) JobUnselected: {'identifier': 'dag_simple_shortest_path'}
[0.001094] (-) JobUnselected: {'identifier': 'dijkstra_all_pairs_shortest_paths'}
[0.001107] (-) JobUnselected: {'identifier': 'dijkstra_directed'}
[0.001122] (-) JobUnselected: {'identifier': 'dijkstra_one_to_all'}
[0.001136] (-) JobUnselected: {'identifier': 'dijkstra_sequential'}
[0.001149] (-) JobUnselected: {'identifier': 'dijkstra_undirected'}
[0.001163] (-) JobUnselected: {'identifier': 'dimacs_assignment'}
[0.001176] (-) JobUnselected: {'identifier': 'dobble_ls'}
[0.001200] (-) JobUnselected: {'identifier': 'earliness_tardiness_cost_sample_sat'}
[0.001237] (-) JobUnselected: {'identifier': 'flow_api'}
[0.001252] (-) JobUnselected: {'identifier': 'frequency_assignment_problem'}
[0.001266] (-) JobUnselected: {'identifier': 'golomb_sat'}
[0.001279] (-) JobUnselected: {'identifier': 'integer_programming'}
[0.001293] (-) JobUnselected: {'identifier': 'integer_programming_example'}
[0.001307] (-) JobUnselected: {'identifier': 'interval_sample_sat'}
[0.001320] (-) JobUnselected: {'identifier': 'jobshop_sat'}
[0.001334] (-) JobUnselected: {'identifier': 'json-populate'}
[0.001350] (-) JobUnselected: {'identifier': 'knapsack'}
[0.001364] (-) JobUnselected: {'identifier': 'knapsack_2d_sat'}
[0.001517] (-) JobUnselected: {'identifier': 'linear_assignment_api'}
[0.001540] (-) JobUnselected: {'identifier': 'linear_programming'}
[0.001556] (-) JobUnselected: {'identifier': 'linear_programming_example'}
[0.001570] (-) JobUnselected: {'identifier': 'linear_solver_protocol_buffers'}
[0.001584] (-) JobUnselected: {'identifier': 'literal_sample_sat'}
[0.001597] (-) JobUnselected: {'identifier': 'magic_sequence_sat'}
[0.001611] (-) JobUnselected: {'identifier': 'magic_square_sat'}
[0.001625] (-) JobUnselected: {'identifier': 'matplot-populate'}
[0.001638] (-) JobUnselected: {'identifier': 'matplot-src'}
[0.001652] (-) JobUnselected: {'identifier': 'max_flow'}
[0.001665] (-) JobUnselected: {'identifier': 'min_cost_flow'}
[0.001679] (-) JobUnselected: {'identifier': 'minimal_jobshop_cp'}
[0.001692] (-) JobUnselected: {'identifier': 'minimal_jobshop_sat'}
[0.001706] (-) JobUnselected: {'identifier': 'mip_var_array'}
[0.001719] (-) JobUnselected: {'identifier': 'mps_driver'}
[0.001733] (-) JobUnselected: {'identifier': 'multi_knapsack_sat'}
[0.001746] (-) JobUnselected: {'identifier': 'multiple_knapsack_mip'}
[0.001767] (-) JobUnselected: {'identifier': 'multiple_knapsack_sat'}
[0.001781] (-) JobUnselected: {'identifier': 'network_routing_sat'}
[0.001795] (-) JobUnselected: {'identifier': 'nlohmann_json'}
[0.001808] (-) JobUnselected: {'identifier': 'no_overlap_sample_sat'}
[0.001822] (-) JobUnselected: {'identifier': 'non_linear_sat'}
[0.001835] (-) JobUnselected: {'identifier': 'nqueens'}
[0.001848] (-) JobUnselected: {'identifier': 'nqueens_cp'}
[0.001862] (-) JobUnselected: {'identifier': 'nqueens_sat'}
[0.001875] (-) JobUnselected: {'identifier': 'nurses_cp'}
[0.001889] (-) JobUnselected: {'identifier': 'nurses_sat'}
[0.001902] (-) JobUnselected: {'identifier': 'optional_interval_sample_sat'}
[0.001915] (-) JobUnselected: {'identifier': 'ortools-populate'}
[0.001929] (-) JobUnselected: {'identifier': 'pdlp_solve'}
[0.001942] (-) JobUnselected: {'identifier': 'pdptw'}
[0.001956] (-) JobUnselected: {'identifier': 'qap_sat'}
[0.001970] (-) JobUnselected: {'identifier': 'rabbits_and_pheasants_cp'}
[0.001983] (-) JobUnselected: {'identifier': 'rabbits_and_pheasants_sat'}
[0.001997] (-) JobUnselected: {'identifier': 'random_tsp'}
[0.002011] (-) JobUnselected: {'identifier': 'ranking_sample_sat'}
[0.002025] (-) JobUnselected: {'identifier': 'reified_sample_sat'}
[0.002039] (-) JobUnselected: {'identifier': 'schedule_requests_sat'}
[0.002052] (-) JobUnselected: {'identifier': 'search_for_all_solutions_sample_sat'}
[0.002066] (-) JobUnselected: {'identifier': 'shift_minimization_sat'}
[0.002080] (-) JobUnselected: {'identifier': 'simple_cp_program'}
[0.002094] (-) JobUnselected: {'identifier': 'simple_glop_program'}
[0.002107] (-) JobUnselected: {'identifier': 'simple_knapsack_program'}
[0.002121] (-) JobUnselected: {'identifier': 'simple_lp_program'}
[0.002134] (-) JobUnselected: {'identifier': 'simple_ls_program'}
[0.002148] (-) JobUnselected: {'identifier': 'simple_max_flow_program'}
[0.002161] (-) JobUnselected: {'identifier': 'simple_min_cost_flow_program'}
[0.002175] (-) JobUnselected: {'identifier': 'simple_mip_program'}
[0.002194] (-) JobUnselected: {'identifier': 'simple_pdlp_program'}
[0.002225] (-) JobUnselected: {'identifier': 'simple_routing_program'}
[0.002239] (-) JobUnselected: {'identifier': 'simple_sat_program'}
[0.002252] (-) JobUnselected: {'identifier': 'slitherlink_sat'}
[0.002266] (-) JobUnselected: {'identifier': 'solution_hinting_sample_sat'}
[0.002279] (-) JobUnselected: {'identifier': 'solve_and_print_intermediate_solutions_sample_sat'}
[0.002293] (-) JobUnselected: {'identifier': 'solve_with_time_limit_sample_sat'}
[0.002306] (-) JobUnselected: {'identifier': 'sports_scheduling_sat'}
[0.002320] (-) JobUnselected: {'identifier': 'steering_functions'}
[0.002334] (-) JobUnselected: {'identifier': 'steering_functions-populate'}
[0.002347] (-) JobUnselected: {'identifier': 'step_function_sample_sat'}
[0.002361] (-) JobUnselected: {'identifier': 'stigler_diet'}
[0.002376] (-) JobUnselected: {'identifier': 'stop_after_n_solutions_sample_sat'}
[0.002482] (-) JobUnselected: {'identifier': 'strawberry_fields_with_column_generation'}
[0.002635] (-) JobUnselected: {'identifier': 'tsp'}
[0.002663] (-) JobUnselected: {'identifier': 'tsp_circuit_board'}
[0.002703] (-) JobUnselected: {'identifier': 'tsp_cities'}
[0.002725] (-) JobUnselected: {'identifier': 'tsp_cities_routes'}
[0.002770] (-) JobUnselected: {'identifier': 'tsp_distance_matrix'}
[0.002786] (-) JobUnselected: {'identifier': 'uncapacitated_facility_location'}
[0.002802] (-) JobUnselected: {'identifier': 'variable_intervals_sat'}
[0.002817] (-) JobUnselected: {'identifier': 'vector_bin_packing_solver'}
[0.002831] (-) JobUnselected: {'identifier': 'vrp'}
[0.002847] (-) JobUnselected: {'identifier': 'vrp_breaks'}
[0.002861] (-) JobUnselected: {'identifier': 'vrp_capacity'}
[0.002875] (-) JobUnselected: {'identifier': 'vrp_drop_nodes'}
[0.002890] (-) JobUnselected: {'identifier': 'vrp_global_span'}
[0.002904] (-) JobUnselected: {'identifier': 'vrp_initial_routes'}
[0.002919] (-) JobUnselected: {'identifier': 'vrp_pickup_delivery'}
[0.002933] (-) JobUnselected: {'identifier': 'vrp_pickup_delivery_fifo'}
[0.002947] (-) JobUnselected: {'identifier': 'vrp_pickup_delivery_lifo'}
[0.002962] (-) JobUnselected: {'identifier': 'vrp_resources'}
[0.002977] (-) JobUnselected: {'identifier': 'vrp_routes'}
[0.003009] (-) JobUnselected: {'identifier': 'vrp_solution_callback'}
[0.003043] (-) JobUnselected: {'identifier': 'vrp_starts_ends'}
[0.003060] (-) JobUnselected: {'identifier': 'vrp_time_windows'}
[0.003082] (-) JobUnselected: {'identifier': 'vrp_with_time_limit'}
[0.003098] (-) JobUnselected: {'identifier': 'vrptw_store_solution_data'}
[0.003112] (-) JobUnselected: {'identifier': 'weighted_tardiness_sat'}
[0.003149] (-) JobUnselected: {'identifier': 'xpress_use'}
[0.003177] (robot_package) JobQueued: {'identifier': 'robot_package', 'dependencies': OrderedDict()}
[0.003204] (robot_package) JobStarted: {'identifier': 'robot_package'}
[0.099875] (-) TimerEvent: {}
[0.200118] (-) TimerEvent: {}
[0.300483] (-) TimerEvent: {}
[0.400819] (-) TimerEvent: {}
[0.470625] (robot_package) Command: {'cmd': ['/usr/bin/python3', '-W', 'ignore:setup.py install is deprecated', '-W', 'ignore:easy_install command is deprecated', 'setup.py', 'egg_info', '--egg-base', '../../build/robot_package', 'build', '--build-base', '/home/kristijan/ros2_ws/build/robot_package/build', 'install', '--record', '/home/kristijan/ros2_ws/build/robot_package/install.log', '--single-version-externally-managed', 'install_data'], 'cwd': '/home/kristijan/ros2_ws/src/robot_package', 'env': {'GJS_DEBUG_TOPICS': 'JS ERROR;JS LOG', 'LESSOPEN': '| /usr/bin/lesspipe %s', 'LANGUAGE': 'en_US', 'USER': 'kristijan', 'XDG_SEAT': 'seat0', 'XDG_SESSION_TYPE': 'x11', 'SHLVL': '1', 'LD_LIBRARY_PATH': '/opt/ros/jazzy/opt/rviz_ogre_vendor/lib:/opt/ros/jazzy/lib/x86_64-linux-gnu:/opt/ros/jazzy/opt/gz_math_vendor/lib:/opt/ros/jazzy/opt/gz_utils_vendor/lib:/opt/ros/jazzy/opt/gz_cmake_vendor/lib:/opt/ros/jazzy/lib', 'HOME': '/home/kristijan', 'OLDPWD': '/home/kristijan/ros2_ws', 'DESKTOP_SESSION': 'cinnamon', 'NVM_BIN': '/home/kristijan/.nvm/versions/node/v25.3.0/bin', 'NVM_INC': '/home/kristijan/.nvm/versions/node/v25.3.0/include/node', 'GIO_LAUNCHED_DESKTOP_FILE': '/usr/share/applications/cinnamon.desktop', 'ROS_PYTHON_VERSION': '3', 'GTK_MODULES': 'gail:atk-bridge', 'XDG_SEAT_PATH': '/org/freedesktop/DisplayManager/Seat0', 'LC_MONETARY': 'hr_HR.UTF-8', 'CINNAMON_VERSION': '6.4.8', 'DBUS_SESSION_BUS_ADDRESS': 'unix:path=/run/user/1000/bus', 'COLORTERM': 'truecolor', 'TERMINATOR_DBUS_NAME': 'net.tenshu.Terminator21a9d5db22c73a993ff0b42f64b396873', 'LIBVIRT_DEFAULT_URI': 'qemu:///system', 'GIO_LAUNCHED_DESKTOP_FILE_PID': '4151', 'NVM_DIR': '/home/kristijan/.nvm', 'COLCON_PREFIX_PATH': '/home/kristijan/ros2_ws/install', 'ROS_DISTRO': 'jazzy', 'LOGNAME': 'kristijan', '_': '/usr/bin/colcon', 'ROS_VERSION': '2', 'XDG_SESSION_CLASS': 'user', 'TERM': 'xterm-256color', 'XDG_SESSION_ID': 'c4', 'GNOME_DESKTOP_SESSION_ID': 'this-is-deprecated', 'PATH': '/opt/ros/jazzy/bin:/home/kristijan/.nvm/versions/node/v25.3.0/bin:/home/kristijan/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin:/home/kristijan/.local/bin:/home/kristijan/android-studio/bin:/home/kristijan/.local/bin:/home/kristijan/.pub-cache/bin', 'SESSION_MANAGER': 'local/kristijan-HP-250-15-6-inch-G9-Notebook-PC:@/tmp/.ICE-unix/3839,unix/kristijan-HP-250-15-6-inch-G9-Notebook-PC:/tmp/.ICE-unix/3839', 'GDM_LANG': 'en_US', 'GTK3_MODULES': 'xapp-gtk3-module', 'XDG_SESSION_PATH': '/org/freedesktop/DisplayManager/Session1', 'LC_ADDRESS': 'hr_HR.UTF-8', 'XDG_RUNTIME_DIR': '/run/user/1000', 'DISPLAY': ':0', 'TERMINATOR_DBUS_PATH': '/net/tenshu/Terminator2', 'LANG': 'en_US.UTF-8', 'XDG_CURRENT_DESKTOP': 'X-Cinnamon', 'LC_TELEPHONE': 'hr_HR.UTF-8', 'XDG_SESSION_DESKTOP': 'cinnamon', 'XAUTHORITY': '/home/kristijan/.Xauthority', 'LS_COLORS': 'rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=00:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.avif=01;35:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.webp=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:*~=00;90:*#=00;90:*.bak=00;90:*.crdownload=00;90:*.dpkg-dist=00;90:*.dpkg-new=00;90:*.dpkg-old=00;90:*.dpkg-tmp=00;90:*.old=00;90:*.orig=00;90:*.part=00;90:*.rej=00;90:*.rpmnew=00;90:*.rpmorig=00;90:*.rpmsave=00;90:*.swp=00;90:*.tmp=00;90:*.ucf-dist=00;90:*.ucf-new=00;90:*.ucf-old=00;90:', 'XDG_GREETER_DATA_DIR': '/var/lib/lightdm-data/kristijan', 'AMENT_PREFIX_PATH': '/home/kristijan/ros2_ws/install/robot_package:/home/kristijan/ros2_ws/install/robot_coverage:/opt/ros/jazzy', 'SHELL': '/bin/bash', 'LC_NAME': 'hr_HR.UTF-8', 'TERMINATOR_UUID': 'urn:uuid:6e2393e5-f3e1-407d-9c57-1619ce4c5597', 'QT_ACCESSIBILITY': '1', 'GDMSESSION': 'cinnamon', 'LESSCLOSE': '/usr/bin/lesspipe %s %s', 'LC_MEASUREMENT': 'hr_HR.UTF-8', 'GPG_AGENT_INFO': '/run/user/1000/gnupg/S.gpg-agent:0:1', 'GJS_DEBUG_OUTPUT': 'stderr', 'LC_IDENTIFICATION': 'hr_HR.UTF-8', 'ROS_AUTOMATIC_DISCOVERY_RANGE': 'SUBNET', 'XDG_VTNR': '7', 'PWD': '/home/kristijan/ros2_ws/build/robot_package', 'XDG_CONFIG_DIRS': '/etc/xdg/xdg-cinnamon:/etc/xdg', 'NVM_CD_FLAGS': '', 'XDG_DATA_DIRS': '/usr/share/cinnamon:/usr/share/gnome:/home/kristijan/.local/share/flatpak/exports/share:/var/lib/flatpak/exports/share:/usr/local/share:/usr/share', 'PYTHONPATH': '/home/kristijan/ros2_ws/build/robot_package/prefix_override:/usr/lib/python3/dist-packages/colcon_core/task/python/colcon_distutils_commands:/home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages:/home/kristijan/ros2_ws/install/robot_package/lib/python3.12/site-packages:/home/kristijan/ros2_ws/install/robot_coverage/lib/python3.12/site-packages:/opt/ros/jazzy/lib/python3.12/site-packages', 'LC_NUMERIC': 'hr_HR.UTF-8', 'LC_PAPER': 'hr_HR.UTF-8', 'COLCON': '1', 'VTE_VERSION': '7600', 'CMAKE_PREFIX_PATH': '/opt/ros/jazzy/opt/gz_math_vendor:/opt/ros/jazzy/opt/gz_utils_vendor:/opt/ros/jazzy/opt/gz_cmake_vendor'}, 'shell': False}
[0.501028] (-) TimerEvent: {}
[0.601283] (-) TimerEvent: {}
[0.632079] (robot_package) StdoutLine: {'line': b'running egg_info\n'}
